nct_id,phase,start_date,enrollment_type,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT00667251,Phase 3,07/10/2008,Actual,16,282,26,2,136,,0,,44,2102
NCT00676052,Phase 2,16/05/2008,Actual,6,86,32,0,,,4,,0,1024
NCT00678886,Phase 3,29/07/2008,Actual,2,6,16,0,,,12,,0,508
NCT00688623,Phase 2,24/06/2009,Actual,,,,,,,,2,,71
NCT00699140,Phase 3,29/02/2008,Actual,0,0,0,0,,,0,,0,18
NCT00700817,Phase 3,30/06/2008,Actual,6,22,96,4,216,,0,,50,2266
NCT00702221,Phase 2,30/06/2008,Actual,0,0,2,0,,,0,,2,22
NCT00703326,Phase 3,06/08/2008,Actual,4,102,82,4,222,,0,,62,4100
NCT00705939,Phase 3,30/06/2008,Actual,0,0,0,0,,,0,,2,86
NCT00706030,Phase 1/Phase 2,29/04/2008,Actual,0,48,4,0,,,0,,8,122
NCT00708162,Phase 3,31/07/2008,Actual,,,,,310,,,,4,1110
NCT00712348,Phase 3,31/12/2008,Actual,0,0,0,1,,,0,,0,30
NCT00716144,Phase 2,01/06/2006,Actual,0,4,0,0,,,0,,0,348
NCT00721162,Phase 2,31/08/2008,Actual,,,,,1,,,,0,59
NCT00732615,Phase 3,18/12/2008,Actual,0,4,2,2,4,,0,,2,482
NCT00735696,Phase 2,31/01/2009,Actual,,,,,3,,,,0,37
NCT00737529,Phase 2,22/12/2008,Actual,,3,1,,,,,2,,128
NCT00745615,Phase 2,07/12/2005,Actual,,2,2,,,,,,,510
NCT00746941,Phase 1/Phase 2,31/01/2009,Actual,0,0,18,0,,,0,,0,56
NCT00748189,Phase 3,22/12/2008,Actual,2,82,12,,,,4,,,794
NCT00750438,Not Applicable,30/09/2008,Actual,0,18,12,0,,,0,,0,68
NCT00754845,Phase 3,14/10/2004,Actual,,,,,48,,,,30,3758
NCT00757237,Phase 3,31/08/2008,Actual,0,2,2,0,,,0,,10,522
NCT00757588,Phase 3,30/11/2008,Actual,0,118,44,0,,,0,,38,710
NCT00760929,Phase 2,10/11/2008,Actual,,,6,,4,,,,,332
NCT00761267,Phase 3,28/02/2009,Actual,0,12,2,0,,,0,,14,108
NCT00768287,Phase 2/Phase 3,31/01/2009,Actual,0,8,3,2,4,,,3,0,134
NCT00773747,Phase 3,01/12/2008,Actual,,,,,110,,,,0,1164
NCT00773838,Phase 2,01/12/2008,Actual,0,34,7,0,5,,0,,0,240
NCT00774345,Phase 3,27/01/2009,Actual,0,10,10,2,14,,0,,6,1226
NCT00777036,Phase 2,20/03/2009,Actual,,,,,14,,,,198,48
NCT00777101,Phase 2,04/02/2009,Actual,0,156,12,0,,,0,,16,282
NCT00781391,Phase 3,30/11/2008,Actual,0,5788,556,0,,,0,,1692,34016
NCT00782067,Phase 2,13/10/2008,Actual,0,0,2,0,,,0,,3,111
