nct_id,phase,start_date,enrollment_type,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT01400503,Phase 2,01/04/2011,Actual,1,23,3,2,5,,0,,0,86
NCT01408914,Phase 2,30/09/2013,Actual,6,0,0,0,358,,324,,24,8
NCT01410890,Phase 4,03/11/2014,Actual,0,8,0,0,4,,4,,8,56
NCT01412424,Phase 3,31/03/2012,Actual,0,2,0,0,20,,0,,16,272
NCT01415427,Phase 3,31/07/2011,Actual,,,,,74,,,,0,272
NCT01420679,Phase 3,31/08/2011,Actual,,4,4,,,2,,,2,30
NCT01421134,Phase 3,30/09/2011,Actual,0,2,52,0,,,0,,4,360
NCT01425008,Phase 1,15/09/2011,Actual,0,2,10,0,32,,0,,36,516
NCT01425723,Phase 3,08/12/2011,Actual,,,,,22,,,,8,210
NCT01426009,Phase 2,31/08/2011,Actual,1,0,4,0,1,,0,,0,272
NCT01432730,Phase 2,22/09/2011,Actual,0,0,0,0,0,,0,,0,48
NCT01435616,Phase 3,30/11/2011,Actual,78,74,204,10,594,,22,,476,4694
NCT01435772,Phase 2,15/08/2011,Actual,0,0,0,0,2,,,2,0,80
NCT01439880,Phase 2,07/10/2011,Actual,8,510,156,14,104,,4,10,0,4490
NCT01446159,Phase 2,13/06/2011,Actual,0,2,16,0,26,,0,,6,682
NCT01447628,Phase 2,29/03/2011,Actual,0,40,0,0,,,0,,0,72
NCT01449370,Phase 1,31/10/2011,Actual,,,,,4,,,,12,234
NCT01452191,Not Applicable,31/08/2011,Actual,,,,,,,,108,,2016
NCT01454284,Phase 3,31/01/2012,Actual,8,16,58,2,82,,42,,562,3686
NCT01454739,Phase 3,31/12/2011,Actual,,,,,20,,,,48,412
NCT01460160,Phase 2,13/04/2012,Actual,1,5,13,1,24,,0,,28,140
NCT01463306,Phase 3,21/02/2012,Actual,0,266,8,0,,,0,,10,926
NCT01466660,Phase 2,13/12/2011,Actual,0,364,2,0,,,0,,68,204
NCT01467427,Phase 3,16/05/2012,Actual,,16,2,,4,,,6,0,72
NCT01468831,Phase 1/Phase 2,28/03/2012,Actual,0,0,2,0,2,,0,,2,30
NCT01468844,Phase 1/Phase 2,21/12/2011,Actual,0,2,0,0,2,,0,,0,20
NCT01468987,Phase 3,31/12/2011,Actual,8,110,184,8,304,,28,,676,4158
NCT01470612,Phase 3,01/10/2012,Actual,,244,18,,,,,66,58,1502
NCT01471028,Phase 3,28/02/2013,Actual,2,8,32,0,,,0,,14,350
NCT01471522,Not Applicable,31/07/2012,Actual,26,2970,408,24,1526,,24,,828,14910
NCT01475825,Phase 3,31/12/2011,Actual,,,,,36,,,,12,570
NCT01478594,Phase 2,31/12/2011,Actual,,,,,16,,,,2,512
NCT01480180,Phase 3,30/01/2012,Actual,,70,22,,26,,,4,,622
NCT01482715,Phase 1/Phase 2,30/11/2011,Actual,0,14,18,0,,,4,,2,234
NCT01482962,Phase 3,11/06/2012,Actual,,,,,92,,,,26,424
NCT01483144,Phase 3,31/10/2013,Actual,0,2,20,0,26,,4,,20,612
NCT01484275,Phase 2,01/03/2012,Actual,0,12,6,0,,,0,,8,144
NCT01484431,Phase 1/Phase 2,17/07/2012,Actual,2,6,2,0,,,0,,0,28
NCT01488097,Phase 2,12/12/2011,Actual,0,0,0,0,0,,0,,0,16
NCT01489111,Phase 3,03/08/2012,Actual,0,5,1,0,0,,0,,0,66
NCT01491737,Phase 2,17/02/2012,Actual,2,110,18,0,170,,0,246,92,394
NCT01492088,Phase 1/Phase 2,16/04/2012,Actual,,4,,,8,,,4,8,120
NCT01493414,Phase 3,16/08/2011,Actual,6,25,20,1,509,,111,1707,0,2087
NCT01498640,Phase 4,31/03/2012,Actual,0,0,0,0,0,,0,,0,104
NCT01499498,Phase 1,31/12/2012,Actual,0,4,3,0,,,0,,0,6
NCT01502631,Phase 2,08/08/2012,Actual,0,14,18,6,6,,0,,12,188
NCT01505530,Phase 2,31/12/2011,Actual,0,2,18,0,6,,0,,112,362
NCT01514864,Phase 2,31/05/2012,Actual,2,0,2,0,,,0,,0,24
NCT01515319,Phase 1,30/04/2012,Actual,0,0,14,6,8,,14,,0,230
NCT01515956,Phase 2,31/10/2011,Actual,,,,,1,,,,0,14
NCT01517282,Phase 1/Phase 2,31/01/2012,Actual,0,2,2,0,,,0,,0,58
NCT01522365,Not Applicable,07/10/2010,Actual,0,0,8,0,,,0,,0,68
NCT01522443,Phase 3,31/03/2012,Actual,,,,,4,,,,6,228
NCT01522651,Phase 2,24/01/2012,Actual,0,2,0,0,12,,0,,6,504
NCT01523587,Phase 3,05/03/2012,Actual,8,382,30,0,,,0,,12,1158
NCT01524783,Phase 3,30/03/2012,Actual,,100,30,,,,,14,,460
NCT01524887,Phase 3,23/01/2012,Actual,2,8,10,4,,,2,,0,476
NCT01526889,Phase 2,20/12/2012,Actual,,,4,,4,,,,0,92
NCT01527357,Phase 3,21/05/2012,Actual,4,22,124,0,,,0,,28,1264
NCT01529008,Phase 3,30/11/2011,Actual,,2,6,,0,,,2,,118
NCT01529203,Phase 3,29/02/2012,Actual,0,0,0,0,,,0,,0,60
NCT01533207,Phase 3,04/06/2012,Actual,2,0,10,0,4,,0,,18,118
NCT01535053,Phase 3,18/06/2012,Actual,0,24,14,0,100,,0,,0,78
NCT01539239,Not Applicable,31/01/2012,Actual,0,64,120,0,86,,0,,40,1914
NCT01539291,Phase 3,03/10/2012,Actual,0,0,12,0,10,,,8,36,718
NCT01541215,Phase 3,13/11/2012,Actual,6,36,32,0,78,,0,,20,364
NCT01545583,Phase 1,30/04/2012,Actual,0,26,14,0,4,,0,,12,168
NCT01557244,Phase 3,02/07/2012,Actual,0,172,6,0,16,,0,,8,522
NCT01559129,Phase 2,09/08/2012,Actual,,4,2,2,,,,2,,36
NCT01559818,Phase 1/Phase 2,29/02/2012,Actual,0,0,0,0,,,0,,0,10
NCT01560624,Phase 3,26/06/2012,Actual,0,612,42,0,,,0,,6,720
NCT01560637,Phase 3,11/09/2013,Actual,0,213,10,0,135,,0,,3,579
NCT01562886,Phase 1,31/03/2012,Actual,0,0,3,0,,,0,,0,10
NCT01565668,Phase 2,30/04/2012,Actual,0,6,6,0,,,0,,22,118
NCT01565694,Phase 3,14/08/2012,Actual,1,23,2,,11,,,5,,110
NCT01566695,Phase 3,26/04/2013,Actual,0,10,2,0,26,,,30,38,758
NCT01568866,Phase 3,20/06/2012,Actual,,226,34,4,,,2,,190,1402
NCT01569295,Phase 3,15/06/2012,Actual,,6,20,,18,,,8,100,1512
NCT01572038,Phase 3,01/06/2012,Actual,49,147,9,,269,,18,552,796,1032
NCT01575834,Phase 3,15/03/2012,Actual,254,1732,302,2,5686,,238,3602,0,16904
NCT01583374,Phase 3,02/05/2012,Actual,0,8,10,2,14,,,12,16,1898
NCT01586910,Not Applicable,30/04/2012,Actual,,26,78,,82,,,,,
NCT01587651,Phase 4,31/03/2012,Actual,2,2,36,0,16,,2,,6,376
NCT01587703,Phase 1,28/03/2012,Actual,2,18,24,,,6,,,16,326
NCT01588184,Phase 4,13/07/2012,Actual,0,0,0,0,,,0,,190,0
NCT01589822,Phase 2,30/06/2012,Actual,0,100,2,0,,,0,,12,314
NCT01597245,Phase 3,18/05/2012,Actual,12,74,78,6,160,,10,,398,4158
NCT01598831,Phase 3,29/10/2012,Actual,26,228,68,6,84,,32,,366,2390
NCT01602224,Phase 2,31/07/2012,Actual,12,90,10,0,24,,0,,172,572
NCT01602380,Phase 3,17/10/2012,Actual,12,140,16,,,,,58,,698
NCT01603277,Phase 2,31/07/2012,Actual,0,10,32,0,22,,0,,2,574
NCT01603407,Phase 3,31/01/2013,Actual,,,,,62,,,,0,330
NCT01605227,Phase 3,31/07/2012,Actual,2,4,40,0,,,0,,440,1570
NCT01608490,Not Applicable,31/10/2012,Actual,,,,,6,,,,0,624
NCT01609062,Phase 2,30/04/2012,Actual,,,,,12,,,,0,38
NCT01609582,Phase 3,30/06/2012,Actual,,,,,538,,,,4030,1846
NCT01609933,Phase 2,18/12/2012,Actual,0,0,2,0,,,0,,0,30
NCT01610414,Phase 3,13/07/2012,Actual,4,600,80,,,42,112,,,2854
NCT01611090,Phase 3,19/09/2012,Actual,,,,,68,,,,70,1018
NCT01619085,Phase 3,06/06/2012,Actual,1,214,2,0,,,0,,86,431
NCT01622088,Phase 3,30/06/2012,Actual,0,6,6,0,,,0,,19,585
NCT01624142,Phase 2/Phase 3,01/06/2012,Actual,2,32,12,0,54,,4,22,0,1074
NCT01626391,Phase 2,30/09/2012,Actual,0,0,0,0,0,,0,,0,36
NCT01626664,Phase 2,30/06/2012,Actual,,6,94,,30,,,2,40,112
NCT01631214,Phase 3,04/05/2012,Actual,24,572,84,4,2586,,12,1764,2,11324
NCT01632241,Phase 4,19/02/2013,Actual,,,992,,,,,,,
NCT01633060,Phase 3,03/10/2012,Actual,10,58,16,0,,,0,,40,740
NCT01637142,Phase 1,31/07/2012,Actual,0,0,0,0,0,,0,,0,36
NCT01640951,Phase 3,16/09/2012,Actual,4,246,24,2,,,0,,18,1056
NCT01642004,Phase 3,16/10/2012,Actual,0,12,16,0,24,,0,,290,746
NCT01645306,Phase 2,08/03/2013,Actual,,6,2,,,,,,,308
NCT01649765,Phase 2,07/09/2012,Actual,52,28,10,,,,,,,96
NCT01649869,Phase 2,24/02/2015,Actual,0,6,8,0,0,,2,,6,118
NCT01653912,Phase 1/Phase 2,30/11/2012,Actual,,,,,0,,,,0,118
NCT01655069,Phase 3,04/10/2012,Actual,14,22,14,0,34,,0,,6,498
NCT01659021,Phase 3,04/12/2012,Actual,,4,8,2,20,,,10,130,870
NCT01659255,Phase 1,17/08/2012,Actual,,4,,,,,,26,,150
NCT01663402,Phase 3,31/10/2012,Actual,,,,,6272,,,,734,30842
NCT01665144,Phase 3,20/12/2012,Actual,0,98,20,0,,,0,,58,3126
NCT01667419,Phase 3,24/09/2012,Actual,,,,,50,,,,56,890
NCT01668784,Phase 3,09/10/2012,Actual,2,148,10,2,,,0,,40,1440
NCT01669928,Phase 4,30/04/2012,Actual,,,,,0,,,,0,206
NCT01672853,Phase 2,04/03/2013,Actual,2,8,42,,12,,,14,0,858
NCT01672866,Phase 2,05/12/2012,Actual,2,10,6,2,68,,,6,,782
NCT01672879,Phase 2,29/10/2012,Actual,,8,12,,78,,,20,,914
NCT01673386,Phase 2,31/07/2012,Actual,0,1,1,0,,,0,,0,56
NCT01677182,Phase 3,31/08/2012,Actual,,,,,62,,,,634,374
NCT01677741,Phase 1/Phase 2,23/05/2013,Actual,0,14,8,2,,,2,,0,144
NCT01677910,Phase 3,08/01/2013,Actual,2,0,2,0,2,,2,,24,508
NCT01680640,Not Applicable,31/12/2013,Actual,,,,,0,,,,0,178
NCT01687998,Phase 3,31/10/2012,Actual,938,2580,588,22,2044,,122,,706,41368
NCT01693120,Not Applicable,30/11/2013,Actual,0,2,0,0,,,0,,4,123
NCT01693562,Phase 1/Phase 2,05/09/2012,Actual,0,270,80,10,104,,4,42,288,3298
NCT01694186,Phase 3,02/08/2013,Actual,0,66,14,0,,,6,,0,172
NCT01694485,Phase 2,16/11/2012,Actual,,32,,,18,,,16,0,1370
NCT01694849,Phase 2,30/09/2012,Actual,,14,20,,,,,26,,488
NCT01695239,Phase 3,31/12/2012,Actual,18,30,0,0,,,2,,0,784
NCT01696032,Phase 2,30/09/2012,Actual,0,22,10,2,12,,0,,6,428
NCT01696045,Phase 2,12/11/2012,Actual,0,0,2,0,,,0,,0,22
NCT01696396,Phase 2,04/12/2012,Actual,,2,6,,4,,,10,0,994
NCT01697319,Phase 2,31/08/2012,Actual,,,,,4,,,,0,12
NCT01698918,Phase 2,07/03/2013,Actual,,44,7,1,,,,4,,146
NCT01705574,Phase 3,24/10/2012,Actual,,52,552,2,88,,,48,2,1556
NCT01707992,Phase 3,20/02/2013,Actual,,16,18,,,,,54,4,4306
NCT01709149,Phase 2,31/10/2012,Actual,2,20,40,2,,,0,,136,1222
NCT01710358,Phase 3,31/10/2012,Actual,126,784,20,0,,,42,,2,1636
NCT01711359,Phase 3,30/11/2012,Actual,82,330,50,0,,,8,,0,698
NCT01712438,Phase 3,28/02/2013,Actual,1,14,0,0,2,,0,,5,194
NCT01712490,Phase 3,09/11/2012,Actual,0,226,90,0,212,,70,,214,4524
NCT01712789,Phase 3,06/11/2012,Actual,,3,4,,52,,,2,8,1295
NCT01720524,Phase 3,05/08/2013,Actual,0,14,16,0,6,,8,,18,174
NCT01721044,Phase 3,31/01/2013,Actual,64,64,48,0,,,2,,6,870
NCT01721057,Phase 3,31/12/2012,Actual,28,360,56,2,88,,6,,1020,1176
NCT01721746,Phase 3,21/12/2012,Actual,,,,,10,,,,446,354
NCT01722292,Phase 1/Phase 2,31/01/2013,Actual,0,0,6,0,2,,0,,2,94
NCT01722331,Phase 3,06/12/2012,Actual,,,,,180,,,,2,1362
NCT01723826,Phase 2,07/12/2012,Actual,,8,10,,,,,,,702
NCT01728805,Phase 3,30/11/2012,Actual,,,,,,,,126,98,520
NCT01730534,Phase 3,25/04/2013,Actual,208,4606,1206,44,5136,,,950,0,56490
NCT01731600,Phase 3,20/02/2013,Actual,,,,,6,,,,2,128
NCT01734382,Phase 4,10/06/2013,Actual,8,0,0,0,24,,0,,6,126
NCT01735630,Phase 2,30/11/2012,Actual,0,6,78,0,,,0,,4,612
NCT01735916,Not Applicable,31/12/2012,Actual,0,6,0,0,,,0,,22,60
NCT01737398,Phase 2/Phase 3,15/03/2013,Actual,,,,,48,,,,0,296
NCT01739348,Phase 2/Phase 3,30/11/2012,Actual,14,738,60,0,,,20,,32,3558
NCT01739400,Phase 3,10/09/2013,Actual,,184,,,354,,,44,0,286
NCT01741532,Phase 3,13/12/2012,Actual,0,14,4,0,,,2,,0,158
NCT01743469,Phase 2,31/12/2012,Actual,0,14,8,0,4,,0,,106,536
NCT01743560,Phase 4,31/01/2013,Actual,,,,,,,,1,,48
NCT01743989,Phase 3,15/04/2013,Actual,4,4,10,,,4,,44,12,1162
NCT01747876,Phase 1,28/05/2013,Actual,,2,,,,,,8,12,42
NCT01747915,Phase 3,03/04/2013,Actual,0,44,0,0,,,2,,0,392
NCT01752634,Phase 3,14/04/2013,Actual,4,28,2,4,,,14,,2,740
NCT01756456,Phase 1/Phase 2,31/01/2013,Actual,,,,,42,,,,24,282
NCT01757184,Phase 3,22/01/2013,Actual,0,6,2,0,20,,0,,14,222
NCT01757535,Phase 3,24/04/2013,Actual,,52,16,,68,,,46,84,1622
NCT01761266,Phase 3,01/03/2013,Actual,2,1320,26,2,34,,,6,0,2426
NCT01764633,Phase 3,08/02/2013,Actual,280,5446,1338,52,4354,,62,1034,10,97680
NCT01767155,Phase 3,30/04/2013,Actual,,22,34,4,,,,6,2,954
NCT01767467,Phase 3,01/03/2013,Actual,2,266,4,,,2,,38,44,768
NCT01767857,Phase 3,31/03/2013,Actual,0,34,56,0,,,0,50,0,1082
NCT01772004,Phase 1,31/01/2013,Actual,10,326,182,8,,,0,,366,2620
NCT01772472,Phase 3,03/04/2013,Actual,172,258,80,2,,,4,,292,2164
NCT01773421,Phase 1,30/06/2011,Actual,,,,,0,,,,0,82
NCT01774981,Phase 1/Phase 2,31/03/2013,Actual,0,0,4,0,20,,0,,0,216
NCT01776424,Phase 3,28/02/2013,Actual,,8538,524,,10556,,,1118,,34054
NCT01776840,Phase 3,16/05/2013,Actual,,,,,70,,,,44,932
NCT01777152,Phase 3,31/01/2013,Actual,,,,,28,,,,118,758
NCT01780506,Phase 3,26/12/2012,Actual,18,306,350,8,260,,,42,0,2484
NCT01786512,Phase 2,26/02/2013,Actual,0,6,68,2,34,,2,6,0,2058
NCT01787552,Phase 1/Phase 2,08/05/2013,Actual,0,6,0,0,,,0,,0,94
NCT01790295,Phase 2,30/11/2013,Actual,0,1,1,0,,,0,,0,19
NCT01791985,Phase 1/Phase 2,31/07/2012,Actual,,,2,,,,,,1,49
NCT01794000,Phase 3,30/04/2013,Actual,0,0,444,0,6,,4,,294,616
NCT01795534,Not Applicable,28/02/2013,Actual,,,,,0,,,,0,10
NCT01796301,Phase 3,31/01/2013,Actual,10,4,,,,,2,82,,774
NCT01796392,Not Applicable,31/07/2013,Actual,2,2,22,0,,,4,,2,348
NCT01797445,Phase 3,12/03/2013,Actual,8,54,522,10,408,,,182,6,2274
NCT01798056,Phase 3,06/03/2013,Actual,4,54,8,,,2,2,,34,360
NCT01798485,Phase 3,30/04/2013,Actual,0,4,14,0,,,0,,12,1362
NCT01808118,Phase 3,16/04/2013,Actual,1,8,12,0,,,1,,0,651
NCT01808261,Phase 2,18/05/2013,Actual,2,4,12,0,,,0,,0,248
NCT01808573,Phase 3,29/03/2013,Actual,,428,48,4,164,,,34,66,1740
NCT01809210,Phase 1,04/04/2013,Actual,,,6,,,,,4,,100
NCT01811875,Phase 4,21/11/2014,Actual,,,,,5,,,,0,2
NCT01813422,Phase 3,18/04/2013,Actual,,,,,116,,,,0,1824
NCT01815736,Phase 3,27/03/2013,Actual,14,188,542,14,660,,,178,16,4132
NCT01816295,Phase 3,31/05/2013,Actual,8,166,100,4,216,,26,,96,2244
NCT01818596,Phase 3,27/03/2013,Actual,2,70,94,4,64,,,14,8,736
NCT01818752,Phase 3,08/07/2013,Actual,,,,,66,,,,104,1740
NCT01824394,Phase 3,01/04/2013,Actual,6,6,4,0,28,,0,,10,1816
NCT01827046,Phase 3,30/12/2013,Actual,4,60,174,6,136,,4,,2,1610
NCT01827592,Phase 3,30/04/2013,Actual,4,26,160,0,172,,4,,0,1138
NCT01828099,Phase 3,09/07/2013,Actual,10,316,12,,,,,10,,404
NCT01828112,Phase 3,28/06/2013,Actual,,136,2,,,,,12,14,298
NCT01829347,Phase 3,30/04/2014,Actual,0,0,0,0,,,0,,0,36
NCT01829711,Phase 3,29/04/2013,Actual,0,1,1,0,5,,0,,16,137
NCT01831544,Not Applicable,15/07/2015,Actual,0,0,0,0,0,,0,,1,21
NCT01833065,Phase 3,30/04/2013,Actual,0,10,90,0,58,,0,,0,1098
NCT01838551,Phase 3,31/08/2014,Actual,0,0,1,0,9,,0,,7,171
NCT01838681,Phase 3,30/06/2013,Actual,0,3,19,0,,,0,,46,1918
NCT01839695,Not Applicable,30/04/2013,Actual,0,0,2,0,,,0,,2,5
NCT01844986,Phase 3,26/08/2013,Actual,2,118,8,4,,,2,,8,640
NCT01846611,Phase 3,16/10/2013,Actual,,,,,30,,,,26,1096
NCT01847274,Phase 3,21/06/2013,Actual,4,40,22,2,,,,,92,1032
NCT01850524,Phase 3,17/05/2013,Actual,6,192,48,2,52,,0,,14,2506
NCT01853228,Phase 1/Phase 2,22/10/2013,Actual,0,1,2,0,2,,1,,10,18
NCT01854918,Phase 3,23/04/2013,Actual,14,880,266,8,334,,14,92,0,13116
NCT01855750,Phase 3,03/09/2013,Actual,6,652,16,0,60,,6,4,66,2542
NCT01856309,Phase 3,07/08/2013,Actual,22,618,138,0,,,2,194,30,2636
NCT01858532,Phase 3,17/05/2013,Actual,152,2396,448,56,,,64,,0,4220
NCT01859078,Phase 1,31/05/2013,Actual,0,1,0,0,0,,3,,0,52
NCT01863732,Phase 3,06/11/2013,Actual,24,100,0,0,,,0,,90,334
NCT01863758,Phase 3,31/08/2013,Actual,0,0,1,0,,,0,,0,65
NCT01865084,Phase 3,30/09/2013,Actual,4,102,2,14,,,14,,2,524
NCT01865747,Phase 3,30/06/2013,Actual,0,94,18,0,74,,0,,280,2166
NCT01866111,Phase 2,31/07/2013,Actual,0,82,24,0,74,,0,,24,1544
NCT01868022,Phase 1,09/10/2013,Actual,,2,,,,2,,,,126
NCT01870778,Phase 3,02/10/2013,Actual,62,60,668,16,,,184,,68,12032
NCT01872689,Phase 2,13/10/2013,Actual,6,106,4,4,86,,2,,66,1746
NCT01874353,Phase 3,03/09/2013,Actual,0,122,2,0,22,,,2,0,1160
NCT01877915,Phase 3,10/09/2013,Actual,42,1454,130,4,1218,,18,,188,17034
NCT01881425,Not Applicable,15/12/2015,Actual,2,32,164,0,,,8,,0,848
NCT01882803,Phase 2,31/05/2013,Actual,,,,,3,,,,8,118
NCT01885000,Phase 3,01/07/2013,Actual,0,0,0,0,,,0,,0,184
NCT01885078,Phase 3,27/06/2013,Actual,286,1562,128,2,,,46,,10,3718
NCT01887600,Phase 3,03/09/2013,Actual,0,18,26,0,,,0,,110,1034
NCT01887717,Phase 3,27/02/2014,Actual,0,0,2,0,18,,0,,16,88
NCT01887912,Phase 3,30/07/2013,Actual,24,2386,616,18,1002,,26,,15856,17280
NCT01890421,Phase 3,19/07/2013,Actual,0,111,2,0,5,,0,,10,724
NCT01891344,Phase 2,30/10/2013,Actual,4,54,12,2,,,0,,168,742
NCT01892345,Phase 3,11/04/2014,Actual,,,,,32,,,,16,238
NCT01892722,Phase 3,26/07/2013,Anticipated,10,2,10,0,,,0,,14,394
NCT01894256,Phase 1,30/11/2013,Actual,0,2,0,0,2,,0,,0,172
NCT01895543,Phase 3,30/09/2013,Actual,2,10,74,0,,,1,,0,324
NCT01895777,Phase 3,25/09/2013,Actual,0,26,8,0,22,,4,,8,1000
NCT01896102,Phase 2/Phase 3,21/08/2013,Actual,0,1,1,0,12,,5,,13,32
NCT01896726,Phase 1,31/07/2013,Actual,0,0,3,0,0,,0,,0,37
NCT01897532,Phase 4,10/07/2013,Actual,630,1280,822,34,5002,,0,,0,20148
NCT01899053,Phase 1,28/06/2013,Actual,,4,10,,16,,,2,30,342
NCT01900652,Phase 2,31/08/2013,Actual,0,26,8,0,8,,2,,44,356
NCT01900665,Phase 3,31/07/2013,Actual,0,292,66,2,196,,8,,0,7260
NCT01901146,Phase 3,29/04/2013,Actual,2,10,28,0,136,,,82,2,2640
NCT01901432,Phase 1/Phase 2,31/10/2013,Actual,0,0,0,0,,,0,,0,96
NCT01903733,Not Applicable,28/08/2013,Actual,2,392,86,0,,,0,,90,1070
NCT01905592,Phase 3,25/02/2014,Actual,,4,18,,24,,,,124,654
NCT01906866,Phase 3,31/10/2013,Actual,0,4,18,0,,,4,,0,224
NCT01907087,Phase 1/Phase 2,30/09/2013,Actual,,,,,1,,,,0,23
NCT01907100,Phase 2/Phase 3,19/09/2013,Actual,52,60,4,0,0,,0,,92,882
NCT01908426,Phase 3,26/09/2013,Actual,0,482,38,6,60,,2,,188,2052
NCT01908530,Not Applicable,30/11/2013,Actual,,8,,,,,2,0,,42
NCT01909934,Phase 4,30/01/2014,Actual,0,0,0,0,2,,0,,3,95
NCT01910311,Phase 1,31/08/2013,Actual,0,1,1,0,0,,0,,0,34
NCT01911429,Phase 3,31/08/2013,Actual,0,30,120,0,88,,62,,0,1004
NCT01920711,Phase 3,18/07/2014,Actual,102,1214,204,2,,,,256,,7866
NCT01921205,Phase 3,29/08/2013,Actual,2,120,6,,,,,24,,534
NCT01922258,Phase 3,30/09/2013,Actual,0,6,18,0,,,0,,2,514
NCT01923181,Phase 2,02/12/2013,Actual,6,100,94,0,142,,,14,0,2164
NCT01924299,Phase 1,31/08/2013,Actual,0,2,2,0,0,,4,,0,136
NCT01924806,Not Applicable,04/03/2014,Actual,0,2,0,0,0,,0,,0,34
NCT01924845,Phase 3,30/04/2014,Actual,,,,,0,,,,0,24
NCT01925144,Phase 1,31/10/2013,Actual,0,0,0,0,0,,1,,0,59
NCT01926496,Phase 4,11/09/2013,Actual,0,0,0,0,52,,0,,0,1884
NCT01928394,Phase 1/Phase 2,24/10/2013,Actual,2,36,92,0,36,,0,,802,3556
NCT01929109,Phase 1,31/08/2013,Actual,0,0,2,0,,,0,,0,90
NCT01931566,Phase 3,01/08/2013,Actual,8,50,174,4,78,,346,,0,20304
NCT01937026,Phase 1,30/09/2013,Actual,0,0,0,0,0,,0,,0,36
NCT01938001,Phase 3,21/11/2013,Actual,,,,,88,,,236,32,1076
NCT01939899,Phase 2,31/10/2013,Actual,0,0,0,0,,,0,,2,56
NCT01943851,Phase 2,14/05/2014,Actual,,11,5,1,,,0,,4,84
NCT01945593,Phase 3,15/10/2013,Actual,0,116,8,0,20,,2,,2,716
NCT01945775,Phase 3,14/10/2013,Actual,0,94,24,0,92,,0,,282,1232
NCT01946204,Phase 3,14/10/2013,Actual,8,280,136,0,32,,2,,776,3594
NCT01948258,Not Applicable,01/03/2013,Actual,0,14,5,0,,0,0,0,,214
NCT01951586,Phase 2,31/12/2013,Actual,,,18,,,,,22,,412
NCT01953601,Phase 3,05/11/2013,Actual,4,496,28,0,172,,6,,108,5002
NCT01954394,Phase 3,17/12/2013,Actual,,,,,78,,,,12,1880
NCT01958294,Not Applicable,31/08/2011,Actual,0,0,0,0,0,,0,,0,24
NCT01958320,Phase 2,31/12/2013,Actual,4,52,50,0,88,,0,,0,614
NCT01958489,Phase 1,31/10/2013,Actual,0,10,1,0,0,,0,,0,37
NCT01958645,Phase 1,30/11/2013,Actual,0,2,6,0,0,,0,,0,40
NCT01960140,Phase 1,31/10/2013,Actual,0,0,1,0,0,,0,,0,79
NCT01960348,Phase 3,30/11/2013,Actual,0,104,10,0,56,,4,,10,716
NCT01962103,Phase 1/Phase 2,04/12/2013,Actual,,,,,34,,,,48,130
NCT01963143,Phase 3,28/02/2014,Actual,0,0,0,0,6,,0,,0,186
NCT01964378,Phase 3,29/10/2013,Actual,0,0,0,0,4,,0,,12,488
NCT01964430,Phase 3,28/03/2014,Actual,2,232,24,4,52,,,34,186,2930
NCT01964521,Not Applicable,28/02/2014,Actual,0,1,0,0,,,0,,0,23
NCT01965158,Phase 3,29/08/2013,Actual,,,,,106,,,,0,984
NCT01965652,Phase 3,24/09/2013,Actual,,,,,178,,,,0,2302
NCT01966471,Phase 3,31/01/2014,Actual,48,1084,46,4,276,,8,,496,5422
NCT01967940,Phase 3,25/10/2013,Actual,,,,,12,,,,0,98
NCT01968057,Phase 1,31/10/2013,Actual,0,0,0,0,0,,0,,0,36
NCT01968213,Phase 3,07/04/2014,Actual,8,42,16,0,,,40,,150,872
NCT01969201,Phase 4,31/01/2014,Actual,2,54,14,,,,,,,1350
NCT01969838,Phase 3,06/12/2013,Actual,,,,,20,,,,74,770
NCT01970540,Phase 1,25/05/2011,Actual,,2,2,,,,,,,236
NCT01972217,Phase 2,01/04/2014,Actual,0,2,4,0,34,,0,,20,572
NCT01972529,Phase 3,28/02/2014,Actual,0,178,10,0,60,,0,,28,648
NCT01974440,Phase 3,31/01/2014,Actual,0,254,8,0,60,,2,,64,1224
NCT01975376,Phase 3,29/10/2013,Actual,0,1446,1608,0,7008,,0,,1338,55736
NCT01975389,Phase 3,29/10/2013,Actual,0,446,996,0,3488,,0,,572,36754
NCT01976104,Phase 3,30/11/2013,Actual,0,110,12,0,90,,22,,16,566
NCT01976364,Phase 3,17/02/2014,Actual,0,21,2,0,,,17,,0,646
NCT01977651,Phase 4,25/09/2013,Actual,,25,9,1,89,,,4,6,712
NCT01979523,Phase 2,23/10/2013,Actual,0,2,0,0,0,,0,,0,166
NCT01981720,Phase 1/Phase 2,16/01/2014,Actual,0,0,3,0,3,,0,,1,23
NCT01981850,Phase 2,01/10/2013,Actual,2,8,6,0,2,,0,,6,278
NCT01984346,Not Applicable,31/12/2013,Actual,0,2,12,0,6,,0,,0,592
NCT01984424,Phase 3,10/12/2013,Actual,0,6,12,0,4,,,4,0,846
NCT01986881,Phase 3,04/11/2013,Actual,76,996,470,58,2086,,412,,44,28842
NCT01989754,Phase 4,16/01/2014,Actual,66,978,462,34,2380,,38,,574,18716
NCT01992549,Phase 3,30/04/2014,Actual,1,9,0,0,0,,2,,0,84
NCT01993186,Phase 2,28/02/2014,Actual,,,,,6,,,,6,60
